RecID,year,fn_code,fn_number,cabin_class,DEPARTURE_AIRPORT,ARRIVAL_AIRPORT,Anzahl.Flugsegmente,currencies,EMISSIONS_KGCO2EQ
1,2020,LX,4425,economy,CGN,ZRH,1,USD,200
2,2020,OS,420,economy,CDG,VIE,1,USD,300
3,2020,OS,553,economy,VIE,ZRH,1,USD,200
4,2020,OS,763,economy,VIE,VAR,1,USD,300
5,2020,OS,764,economy,VAR,VIE,1,USD,300
6,2020,SU,2392,economy,SVO,ZRH,1,USD,500
7,2020,SU,2393,economy,ZRH,SVO,1,USD,500
8,2020,LX,964,economy,ZRH,BER,1,USD,200
9,2020,LX,969,economy,BER,ZRH,1,USD,200
10,2020,DL,66,economy,ATL,ZRH,1,USD,1500
11,2020,DL,67,economy,ZRH,ATL,1,USD,1500
12,2020,EI,100,economy,EWR,DUB,2,USD,1000
13,2020,EI,342,economy,DUB,ZRH,2,USD,300
14,2020,LX,3218,economy,ZRH,EWR,2,USD,1200
15,2020,IB,8771,economy,TRN,MAD,1,USD,300
16,2020,LX,424,economy,ZRH,BHX,1,USD,300
17,2020,LX,425,economy,BHX,ZRH,1,USD,300
18,2020,LX,1736,economy,ZRH,FCO,1,USD,200
19,2020,LX,1737,economy,FCO,ZRH,1,USD,200
20,2020,LX,1955,economy,BCN,ZRH,1,USD,300
21,2020,LX,2027,economy,MAD,ZRH,1,USD,300
22,2020,LX,2142,economy,ZRH,VLC,1,USD,300
23,2020,LX,2143,economy,VLC,ZRH,1,USD,300
24,2020,,,economy,FCO,ZRH,1,USD,200
25,2020,,,economy,ZRH,FCO,1,USD,200
26,2020,LX,1579,economy,VIE,ZRH,1,USD,200
27,2020,LX,1582,economy,ZRH,VIE,1,USD,200
28,2020,LH,1181,economy,OPO,FRA,1,USD,400
29,2020,LH,9126,economy,FRA,SFO,1,USD,1800
30,2020,LX,38,economy,ZRH,SFO,1,USD,1800
31,2020,LX,38,economy,ZRH,SFO,1,USD,1800
32,2020,LX,38,economy,ZRH,SFO,1,USD,1800
33,2020,LX,39,economy,SFO,ZRH,1,USD,1800
34,2020,LX,39,economy,SFO,ZRH,3,USD,1800
35,2020,LX,2580,economy,ZRH,SKG,1,USD,300
36,2020,LX,2581,economy,SKG,ZRH,1,USD,300
37,2020,LX,19,economy,EWR,ZRH,1,USD,1200
38,2020,LX,52,economy,ZRH,BOS,1,USD,1200
39,2020,LX,1579,economy,VIE,ZRH,1,USD,200
40,2020,OS,562,economy,ZRH,VIE,1,USD,200
41,2020,,,economy,BOS,YYZ,1,USD,200
42,2020,,,economy,YUL,BOS,1,USD,200
43,2020,AC,872,economy,YYZ,FRA,1,USD,1200
44,2020,AC,8295,economy,BOS,YYZ,1,USD,200
45,2020,LH,1186,economy,FRA,ZRH,1,USD,200
46,2020,LX,55,economy,BOS,ZRH,1,USD,1200
47,2020,LX,1225,economy,ARN,ZRH,1,USD,400
48,2020,LX,1254,economy,ZRH,ARN,1,USD,400
49,2020,BA,981,economy,TXL,LHR,1,USD,300
50,2020,BA,982,economy,LHR,TXL,1,USD,300
51,2020,KL,1958,economy,ZRH,AMS,1,USD,200
52,2020,KL,3598,economy,AMS,MRS,1,USD,300
53,2020,A,3850,economy,MISSING,MISSING,1,USD,MISSING
54,2020,A,3929,economy,MISSING,MISSING,1,USD,MISSING
55,2020,AF,428,economy,MISSING,MISSING,1,USD,MISSING
56,2020,AF,1615,economy,ZRH,CDG,1,USD,200
57,2020,KL,741,economy,AMS,BOG,1,USD,1700
58,2020,KL,1959,economy,MISSING,MISSING,1,USD,MISSING
59,2020,LH,329,economy,VCE,FRA,1,USD,200
60,2020,LH,1090,economy,FRA,FAO,1,USD,400
61,2020,LX,19,economy,EWR,ZRH,1,USD,1200
62,2020,LX,1662,economy,ZRH,VCE,1,USD,200
63,2020,LX,2612,economy,MISSING,MISSING,1,USD,MISSING
64,2020,T,79015,economy,MISSING,MISSING,1,USD,MISSING
65,2020,U,21161,economy,MISSING,MISSING,1,USD,MISSING
66,2020,W,61559,economy,MISSING,MISSING,1,USD,MISSING
67,2020,KL,1958,economy,ZRH,AMS,1,USD,200
68,2020,KL,1969,economy,AMS,ZRH,1,USD,200
69,2020,KL,3598,economy,AMS,MRS,1,USD,300
70,2020,KL,3601,economy,MRS,AMS,1,USD,300
71,2020,LX,980,economy,ZRH,TXL,1,USD,200
72,2020,LX,983,economy,TXL,ZRH,1,USD,200
73,2020,OS,188,economy,STR,VIE,1,USD,200
74,2020,OS,569,economy,VIE,ZRH,1,USD,200
75,2020,,,economy,CDG,DME,1,USD,500
76,2020,,,economy,DME,CDG,1,USD,500
77,2020,LX,1662,economy,ZRH,VCE,1,USD,200
78,2020,LX,1663,economy,VCE,ZRH,1,USD,200
79,2020,G,31028,economy,CGH,SDU,1,USD,200
80,2020,G,31039,economy,SDU,CGH,1,USD,200
81,2020,LX,93,economy,GRU,ZRH,1,USD,1900
82,2020,EW,762,economy,CGN,ZRH,1,USD,200
83,2020,EW,763,economy,ZRH,CGN,1,USD,200
84,2020,LX,326,economy,ZRH,LHR,1,USD,300
85,2020,LX,327,economy,LHR,ZRH,1,USD,300
86,2020,LX,1012,economy,ZRH,DUS,1,USD,200
87,2020,LX,1013,economy,DUS,ZRH,1,USD,200
88,2020,AZ,57,economy,FCO,ZRH,1,USD,200
89,2020,AZ,568,economy,FCO,GVA,1,USD,200
90,2020,AZ,571,economy,ZRH,FCO,1,USD,200
91,2020,AZ,572,economy,FCO,ZRH,1,USD,200
92,2020,AZ,575,economy,GVA,FCO,1,USD,200
93,2020,LX,17,economy,JFK,ZRH,1,USD,1200
94,2020,LX,1012,economy,ZRH,DUS,1,USD,200
95,2020,LX,1019,economy,MISSING,MISSING,1,USD,MISSING
96,2020,LX,1416,economy,ZRH,BEG,1,USD,300
97,2020,LX,1417,economy,BEG,ZRH,1,USD,300
98,2020,LX,1726,economy,ZRH,FCO,1,USD,200
99,2020,LX,1727,economy,FCO,ZRH,1,USD,200
100,2020,LX,1732,economy,ZRH,FCO,5,USD,200
101,2020,LX,1733,economy,FCO,ZRH,2,USD,200
102,2020,LX,1736,economy,ZRH,FCO,1,USD,200
103,2020,LX,1737,economy,FCO,ZRH,3,USD,200
104,2020,QR,95,economy,DOH,ZRH,1,USD,900
105,2020,QR,96,economy,ZRH,DOH,1,USD,900
106,2020,QR,1370,economy,CPT,DOH,1,USD,1400
107,2020,QR,1371,economy,DOH,CPT,1,USD,1400
108,2020,,,economy,AEP,REL,1,USD,300
109,2020,,,economy,REL,AEP,1,USD,300
110,2020,4M,7820,economy,EZE,MIA,1,USD,1400
111,2020,4M,7821,economy,MIA,EZE,1,USD,1400
112,2020,DL,40,economy,JFK,ZRH,1,USD,1200
113,2020,DL,407,economy,ZRH,JFK,1,USD,1200
114,2020,EW,769,economy,ZRH,CGN,1,USD,200
115,2020,EW,7037,economy,CGN,HAM,1,USD,200
116,2020,EW,7175,economy,MUC,HAM,1,USD,200
117,2020,EW,7176,economy,HAM,MUC,1,USD,200
118,2020,EW,7177,economy,MUC,HAM,1,USD,200
119,2020,EW,7764,economy,HAM,ZRH,1,USD,200
120,2020,LX,1052,economy,ZRH,HAM,1,USD,200
121,2020,LX,1053,economy,HAM,ZRH,1,USD,200
122,2020,LX,1056,economy,ZRH,HAM,1,USD,200
123,2020,LX,1057,economy,HAM,ZRH,1,USD,200
124,2020,LX,1125,economy,MUC,GVA,1,USD,200
125,2020,LX,1267,economy,CPH,ZRH,1,USD,300
126,2020,LX,1272,economy,ZRH,CPH,1,USD,300
127,2020,LX,3559,economy,VIE,ZRH,1,USD,200
128,2020,UA,9726,economy,ZRH,ORD,1,USD,1400
129,2020,UA,9727,economy,ORD,ZRH,1,USD,1400
130,2020,UA,9808,economy,ZRH,MIA,1,USD,1500
131,2020,,,economy,EZE,FRA,1,USD,2300
132,2020,A,37333,economy,CHQ,ATH,1,USD,200
133,2020,A,37336,economy,ATH,CHQ,1,USD,200
134,2020,EW,7764,economy,HAM,ZRH,3,USD,200
135,2020,EW,7765,economy,ZRH,HAM,1,USD,200
136,2020,LX,181,economy,MISSING,MISSING,1,USD,MISSING
137,2020,LX,1050,economy,ZRH,HAM,1,USD,200
138,2020,LX,1052,economy,ZRH,HAM,1,USD,200
139,2020,LX,1053,economy,HAM,ZRH,1,USD,200
140,2020,LX,1054,economy,ZRH,HAM,1,USD,200
141,2020,LX,1583,economy,VIE,ZRH,1,USD,200
142,2020,LX,1831,economy,ATH,ZRH,1,USD,400
143,2020,LX,1838,economy,ZRH,ATH,1,USD,400
144,2020,LX,3570,economy,ZRH,VIE,1,USD,200
145,2020,,,economy,DME,ZRH,1,USD,500
146,2020,LX,1055,economy,HAM,ZRH,1,USD,200
147,2020,LX,1056,economy,ZRH,HAM,1,USD,200
148,2020,LX,1305,economy,LED,GVA,1,USD,500
149,2020,LX,1310,economy,ZRH,LED,1,USD,400
150,2020,LX,1326,economy,ZRH,DME,1,USD,500
151,2020,LX,2817,economy,GVA,ZRH,1,USD,200
152,2020,OS,569,economy,VIE,ZRH,1,USD,200
153,2020,OS,570,economy,ZRH,VIE,1,USD,200
154,2020,KL,1958,economy,ZRH,AMS,1,USD,200
155,2020,KL,1969,economy,AMS,ZRH,1,USD,200
156,2020,KL,1995,economy,AMS,KRK,1,USD,300
157,2020,KL,1996,economy,KRK,AMS,1,USD,300
158,2020,CA,1596,economy,HGH,PEK,1,USD,300
159,2020,MF,8146,economy,PEK,HGH,1,USD,300
160,2020,WK,90,economy,ZRH,EZE,1,USD,2300
161,2020,WK,91,economy,EZE,ZRH,1,USD,2300
162,2020,,,economy,SFO,DEN,1,USD,400
163,2020,BA,218,economy,DEN,LHR,1,USD,1400
164,2020,BA,285,economy,LHR,SFO,1,USD,1700
165,2020,BA,709,economy,ZRH,LHR,1,USD,300
166,2020,BA,980,economy,LHR,TXL,1,USD,300
167,2020,DL,407,economy,ZRH,JFK,2,USD,1200
168,2020,DL,2219,economy,JFK,DEN,2,USD,600
169,2020,LX,919,economy,DRS,ZRH,1,USD,200
170,2020,AC,864,economy,YUL,LHR,1,USD,1000
171,2020,AC,6821,economy,MISSING,MISSING,1,USD,MISSING
172,2020,AC,6830,economy,MISSING,MISSING,1,USD,MISSING
173,2020,LH,2367,economy,ZRH,MUC,1,USD,200
174,2020,LH,2370,economy,MUC,ZRH,1,USD,200
175,2020,LH,9488,economy,MUC,PSA,1,USD,200
176,2020,LH,9489,economy,PSA,MUC,1,USD,200
177,2020,LX,38,economy,ZRH,SFO,1,USD,1800
178,2020,LX,39,economy,SFO,ZRH,1,USD,1800
179,2020,LX,161,economy,NRT,ZRH,1,USD,1900
180,2020,LX,918,economy,ZRH,DRS,1,USD,200
181,2020,LX,919,economy,DRS,ZRH,1,USD,200
182,2020,NH,4782,economy,AKJ,HND,1,USD,300
183,2020,NH,6752,economy,ZRH,NRT,1,USD,1900
184,2020,VY,3286,economy,ACE,ZRH,2,USD,600
185,2020,VY,3286,economy,ZRH,ACE,1,USD,600
186,2020,VY,3287,economy,ACE,ZRH,1,USD,600
187,2020,VY,3287,economy,ZRH,ACE,1,USD,600
188,2020,WK,228,economy,ZRH,ACE,1,USD,600
189,2020,EW,7763,economy,ZRH,HAM,2,USD,200
190,2020,EW,7764,economy,HAM,ZRH,1,USD,200
191,2020,LH,219,economy,DRS,FRA,1,USD,200
192,2020,LH,2128,economy,MUC,DRS,1,USD,200
193,2020,LH,2371,economy,ZRH,MUC,1,USD,200
194,2020,LH,5778,economy,FRA,ZRH,1,USD,200
195,2020,LX,316,economy,ZRH,LHR,2,USD,300
196,2020,LX,333,economy,LHR,ZRH,2,USD,300
197,2020,LX,339,economy,LHR,ZRH,1,USD,300
198,2020,LX,450,economy,ZRH,LCY,1,USD,200
199,2020,LX,1057,economy,HAM,ZRH,1,USD,200
200,2020,LX,1059,economy,HAM,ZRH,1,USD,200
201,2020,AF,1376,economy,MISSING,MISSING,1,USD,MISSING
202,2020,AF,1815,economy,ZRH,CDG,1,USD,200
203,2020,DL,408,economy,JFK,ZRH,2,USD,1200
204,2020,IB,3476,economy,MAD,ZRH,1,USD,300
205,2020,IB,3477,economy,ZRH,MAD,1,USD,300
206,2020,IB,8834,economy,MAD,EAS,1,USD,200
207,2020,IB,8841,economy,EAS,MAD,1,USD,200
208,2020,KL,1684,economy,BIO,AMS,1,USD,300
209,2020,KL,1957,economy,AMS,ZRH,1,USD,200
210,2020,LX,8,economy,ZRH,ORD,1,USD,1400
211,2020,LX,16,economy,ZRH,JFK,1,USD,1200
212,2020,LX,19,economy,EWR,ZRH,1,USD,1200
213,2020,LX,316,economy,ZRH,LHR,1,USD,300
214,2020,LX,319,economy,LHR,ZRH,2,USD,300
215,2020,LX,327,economy,LHR,ZRH,1,USD,300
216,2020,LX,460,economy,ZRH,LCY,1,USD,200
217,2020,LX,1952,economy,ZRH,BCN,1,USD,300
218,2020,LX,1954,economy,ZRH,BCN,1,USD,300
219,2020,LX,1955,economy,BCN,ZRH,1,USD,300
220,2020,LX,1955,economy,BCN,ZRH,1,USD,300
221,2020,LX,3046,economy,LHR,DEN,1,USD,1400
222,2020,LX,3057,economy,DEN,LHR,2,USD,1400
223,2020,LX,3338,economy,ORD,DEN,1,USD,400
224,2020,NK,425,economy,DEN,ORD,1,USD,400
225,2020,SK,605,economy,ARN,ZRH,1,USD,400
226,2020,SK,1606,economy,ZRH,ARN,1,USD,400
227,2020,AA,40,economy,ORD,BCN,1,USD,1400
228,2020,AA,93,economy,ZRH,PHL,1,USD,1200
229,2020,AA,324,economy,PHL,PHX,1,USD,700
230,2020,AA,883,economy,PHX,ORD,1,USD,500
231,2020,AC,898,economy,YYZ,VIE,1,USD,1300
232,2020,LH,446,economy,FRA,DEN,1,USD,1600
233,2020,LH,1187,economy,ZRH,FRA,1,USD,200
234,2020,LX,1577,economy,VIE,ZRH,1,USD,200
235,2020,UA,3629,economy,DEN,YYZ,1,USD,500
236,2020,LH,447,economy,DEN,FRA,1,USD,1600
237,2020,LH,1183,economy,ZRH,FRA,1,USD,200
238,2020,LH,5774,economy,MISSING,MISSING,1,USD,MISSING
239,2020,LH,7586,economy,MISSING,MISSING,1,USD,MISSING
240,2020,LX,978,economy,ZRH,TXL,1,USD,200
241,2020,LX,979,economy,TXL,ZRH,1,USD,200
242,2020,UA,52,economy,IAD,ZRH,1,USD,1300
243,2020,UA,53,economy,ZRH,IAD,1,USD,1300
244,2020,LX,253,economy,TLV,ZRH,1,USD,600
245,2020,LX,256,economy,ZRH,TLV,1,USD,600
246,2020,LX,380,economy,ZRH,MAN,1,USD,300
247,2020,LX,395,economy,MAN,ZRH,1,USD,300
248,2020,LX,420,economy,ZRH,BHX,1,USD,300
249,2020,LX,425,economy,MISSING,MISSING,1,USD,MISSING
250,2020,LX,38,economy,ZRH,SFO,2,USD,1800
251,2020,LX,39,economy,SFO,ZRH,2,USD,1800
252,2020,LH,215,economy,DRS,FRA,1,USD,200
253,2020,LH,1196,economy,FRA,ZRH,1,USD,200
254,2020,LX,914,economy,ZRH,DRS,1,USD,200
255,2020,AA,92,economy,PHL,ZRH,1,USD,1200
256,2020,AA,93,economy,ZRH,PHL,1,USD,1200
257,2020,AC,878,economy,YYZ,ZRH,1,USD,1300
258,2020,AC,879,economy,ZRH,YYZ,1,USD,1300
259,2020,LX,177,economy,SIN,ZRH,1,USD,2000
260,2020,SQ,865,economy,HKG,SIN,1,USD,600
261,2020,SQ,866,economy,SIN,HKG,1,USD,600
262,2020,IB,3476,economy,MAD,ZRH,1,USD,300
263,2020,IB,3477,economy,ZRH,MAD,1,USD,300
264,2020,IB,8834,economy,MAD,EAS,1,USD,200
265,2020,IB,8841,economy,EAS,MAD,1,USD,200
266,2020,LX,728,economy,ZRH,AMS,1,USD,200
267,2020,LX,735,economy,AMS,ZRH,1,USD,200
268,2020,LX,780,economy,ZRH,BRU,1,USD,200
269,2020,LX,787,economy,BRU,ZRH,1,USD,200
270,2020,LX,968,economy,ZRH,TXL,1,USD,200
271,2020,LX,983,economy,MISSING,MISSING,1,USD,MISSING
272,2020,LX,2064,economy,ZRH,OPO,1,USD,400
273,2020,LX,2065,economy,OPO,ZRH,1,USD,400
274,2020,LX,1413,economy,BEG,ZRH,1,USD,300
275,2020,LX,1416,economy,ZRH,BEG,1,USD,300
276,2020,,,economy,ATH,ZRH,1,USD,400
277,2020,,,economy,ZRH,ATH,1,USD,400
278,2020,A,3851,economy,ZRH,ATH,3,USD,400
279,2020,A,31986,economy,ATH,ZRH,1,USD,400
280,2020,A,37117,economy,SKG,ATH,1,USD,200
